symbol	TCGA.D8.A3Z6.01A	TCGA.EW.A1OY.01A	TCGA.EW.A1P3.01A	TCGA.EW.A2FR.01A	TCGA.GM.A2DA.01A
NLRP11	3.80316760062552	3.80316760062552	3.88472136634996	3.80316760062552	3.80316760062552
PIK3AP1	3.78544310954484	4.19041501522843	3.61729209524888	5.45935638115657	4.3003908522697
EPS8	5.50586803643544	5.44917730266032	4.92601401886815	6.15562129802875	5.85346797897698
NRIP1	7.57366108895536	6.50544371055411	6.60505369465414	7.04831976226388	6.2133269294329
SPRY2	4.74786149867915	3.77892008950778	5.24447226116197	5.94054690330033	5.4586388745635
PLBD1	2.65021870243747	3.05259587043237	5.77454796898856	6.53771740793755	5.82015927766765
FOXQ1	3.430156197596	2.4951811193836	3.13882938311784	3.52640076787949	3.42855788498636
LARP6	3.81875420985913	4.59008885122353	3.90840705017459	5.29587226032142	4.22706093619051
CYBRD1	6.14211388655195	5.33022123034193	6.14886034641313	6.37531320146193	6.14882875366983
MAP1B	6.94315738718538	6.16251457626186	7.22740828050575	9.39353136176956	6.56062715954639
MATN2	3.76235508196834	3.99554329615473	3.60792122851673	3.23170780374979	4.00487383788778
MB	5.08589439580403	5.27117086364954	4.36391993724071	5.05389364535257	3.36733891253479
LAPTM4B	6.80765802435337	13.2585249459579	7.07606470001254	6.46147335179443	6.38412193102057
S100A14	4.87163041948732	4.57624016670237	6.70954553025113	6.98023805245933	4.07145860619159
ACTA2	7.10752292387094	5.87818428192467	7.45513804320168	9.4224530391371	6.95552724005724
TBC1D2	7.33014895284424	3.99437648797215	3.99739828261277	6.76619719269207	4.71654391134488
CEP15	7.78991606554901	7.70125383807318	8.79192995456559	8.38615598547818	7.74276115784654
MECOM	5.00769048094291	3.92848909737088	4.54039467520632	5.00602883777805	4.71386186249606
EVI2B	3.67649911054381	4.20389478107067	4.85320239787588	5.75816062114161	6.26029351736175
C1RL	6.16720449575645	4.98365442201852	6.08313848385111	6.38762019695932	4.52813682368802
GOLM1	8.27501831545985	8.29160093594441	4.83459538831441	8.05470083963876	8.31033052122754
RCSD1	3.49321750342875	2.98217988975011	3.26224356846248	4.58364521330834	4.45108200928947
EXT1	6.86109252276599	6.16496797965253	4.51642558833957	7.66561374948758	5.19188432582926
ACTN1	7.54479973267835	6.1575154461095	6.4800868872309	8.94368395649207	6.2828259311348
MND1	5.31487119865109	8.09909939983658	6.15525861187705	7.10018078398449	6.68248014937741
RRAS	6.39623868846099	3.95579778925257	7.30454250021362	5.39967637722842	6.57626726906032
MDK	7.07399470210303	6.24334299325805	7.58229455382803	9.26209279715782	6.09682627110287
WLS	5.91413517436775	6.68669694579498	5.93674014574119	5.83882726773316	5.81605186070913
ADA	6.76140905516537	7.01016018309732	5.6851623302249	7.4375779931516	6.48744876492047
ME1	5.69711524619136	5.44746579421231	4.64325011428155	5.31153292911724	6.60268459896142
F3	4.06538305709718	2.6432213944012	4.05265414343496	4.169085665458	5.21430002981253
TRIM22	4.77117086447656	3.1370121071518	3.61222060290238	5.65307215074289	4.80357699777441
PPM1H	7.9107763336582	7.3278448572007	5.55662006392714	4.91274600422318	3.42621734498155
S100A2	5.68674631852708	3.30707244214642	4.80234907996414	4.86210330733224	4.33302356314417
TNFRSF12A	7.61040515345004	4.64527391279425	8.57654667575891	8.91609336820207	7.24496633048134
FZD6	3.58814490787007	7.88342550995048	3.79621733133193	6.19122306314194	5.49188421699855
ESRP2	4.30692967586645	5.46193087871023	4.317809533815	5.67624138383674	3.87283106646733
ADM	4.97684465239134	4.03729231175611	4.33075845546552	5.06312117221214	4.24351701531386
S100A6	6.88650360187175	6.61499972944238	9.43646790338653	10.4545858567912	8.45529621650733
GLMP	6.16415587754802	5.82987501943	5.75976519735347	6.27021035578245	4.325243080307
ADORA2B	5.88892241683614	5.20293331579224	4.51296976245719	3.37046537731785	3.22310919244213
S100A10	5.62608932185675	5.7297243260338	6.9457300676749	8.14609731473557	7.30166267881459
MEST	5.48495763256078	6.70973542653204	6.45219288851632	5.36069292749458	4.58103342726845
S100A7	2.10736556187848	2.19218496326533	5.48174383668246	3.89338411180744	2.10736556187848
S100A13	8.59820214050876	8.27657260887336	10.6828794650176	9.11835368995345	6.29362217438364
FAP	4.70666315398764	3.0772444860675	4.36521874945756	7.61731351306365	5.97087517244801
SAA1	2.96659516357342	2.18124772081134	3.80768249332018	2.64101627581979	4.7473762919757
MFNG	4.13373378141472	3.29653151211829	3.86248236048522	4.37627858411084	5.81490594182992
FAT1	6.09179810630231	3.68985217511413	8.00248869800936	9.27808453960689	5.82769067674512
SYCP2	5.17725201514511	3.49270339009578	5.95525136902776	5.26300344471796	5.60669645291422
FAT2	3.90328945644004	2.61739253261861	2.83665874037783	2.6228904525639	2.79525326634132
EFEMP1	2.97660318309887	7.21955989976879	4.7259849392874	6.65803010662647	4.12489040797476
CAMK2N1	6.21201128419894	6.13725328054752	6.03652321363865	6.98762170906636	6.94023928613051
ADRB2	3.14516976408358	2.88129593260221	3.8917357003913	3.34000108419707	4.46967321348378
MYL9	4.7594264039023	4.65413179552751	4.89952211639257	6.37687761682045	5.23705011887121
HOOK1	5.13957527630369	6.22448701845169	5.29107695547923	2.66611600311265	4.99847338307335
MGST1	7.98071534393955	8.54953396301509	8.53024021451429	8.52581996903927	3.89527732601388
AEBP1	7.68792499771725	6.08962844818181	6.6571033952566	9.39957225406258	7.90712962919536
BASP1	8.67810056309794	5.71772597279056	6.26394314434831	9.48013892050845	8.03915102750651
IFITM3	5.20647355161256	10.110356628017	8.34497372714995	6.90134024960412	7.71494334537747
YAP1	6.14680728051909	3.87007687727367	5.28600986446485	6.82224958029658	5.16885485103885
SERPINB3	2.54327648280811	2.54327648280811	2.54327648280811	2.54327648280811	2.54327648280811
SNX7	3.79142659019573	5.77456326314131	4.39401254232039	7.49522340192021	3.57635016163466
MID1	3.55144527438237	4.90375030578331	3.96546338593829	3.49392353716495	3.58230110019157
OSBPL1A	6.11528053750703	4.54124155233186	8.04284811095281	6.2111032590948	7.54891544579768
MLF1	4.28264254599154	6.43562495223748	6.06166357656959	6.58223398932658	5.21333087613573
AHR	6.84693929068992	4.75707888038835	4.7729354416865	5.66265778676246	5.36084490697492
AK4	5.00066162370527	7.42718751140961	4.93932432581094	6.82694086970722	4.28434797042594
BIN2	2.94898916533775	2.77232018473148	3.63631486203897	4.37535282417668	5.08016930097411
SRPX	3.83472014268926	3.88802188525729	5.71228927680076	8.01396583691063	6.7473654041375
MMP1	1.99975441536328	2.7489012602234	2.26610220050737	6.4866170551004	1.79762749989505
GPNMB	4.13590246464255	3.63693778823381	3.630065484694	6.88921061446052	4.72798210036878
ALDH1A1	4.35914110504022	2.60233986275605	4.66151927440558	5.20472365341137	6.02002921800472
FBXO32	4.82700683057428	6.91374115867702	4.36114939974186	5.40713563505096	5.04114085465519
ALDH1A3	4.03884539851247	2.17690239913081	4.38932306132801	5.81366173957811	3.5072172477618
BCAR3	4.07346871630065	4.37470164473083	4.88215913662573	6.29108055340291	4.48999446143675
MMP7	4.68053278025128	4.14619092098409	3.76270688920666	3.53234648455553	4.12446092358039
ZCCHC7	7.15768611950382	6.84698082768562	6.98938716779772	7.6127910218439	8.95349286168387
ALDH3A2	6.72591227469032	8.49317084293744	7.18118447553891	4.98458737632185	5.02712759623304
MMP10	4.01962777814224	2.64125238002175	4.38745581308789	4.1574779195466	3.21768797984107
FHL2	5.94135778028954	7.85697524991711	8.63467346092057	6.77084271759035	4.51778043908894
MMP14	6.22289321078697	5.11659615630696	4.35250408416848	9.30546759355104	4.71005061990853
PRKAG2	5.19659112327011	5.71097976349453	5.97723263111202	5.72491042150809	5.11460413436853
SNX9	6.3054464349785	7.3847954725715	6.162649987799	7.92757085204193	7.36870532277236
SDC1	6.07572186654215	4.51126910256954	5.50251308759934	8.13921713910107	3.95852770459917
SDC4	6.348872904513	7.69422857076653	4.98272798583681	5.50420033636737	5.22150753919379
CAP2	5.81322842644764	5.14754418736174	5.93194347659093	4.93112760836989	5.75100114354228
FOXF2	4.73600373720686	2.2293807941757	4.33989231372676	5.41863744158997	4.35196678705012
STEAP1	8.45848672544991	5.68663585510213	6.73803598653541	7.33979453505877	3.45865603333229
FOXC1	4.05244370814202	2.85320043797101	4.12068490814595	4.61577166247067	4.36138308772115
GULP1	4.65144248138004	2.96630790378764	4.18674168238486	7.54617396206285	6.10265920765924
MUC20	4.61265457266797	2.90068425961021	4.29627082537688	3.29546263616658	3.71869486572005
SELL	2.26520298916809	3.07157725104835	4.47580098290967	2.62663310709875	3.74056848092659
FLI1	3.62581137453089	3.08078911373562	4.16645573555239	4.96713794647663	5.19032514174539
EVL	8.402930928512	6.00889842402405	7.03310359641751	5.22617979306849	7.77871943112202
NID2	5.02881280431681	3.06878788557412	4.43158209262399	7.21687468149225	4.88117894058291
FLNB	7.09861651032164	8.30683163758115	7.30237389142749	6.48699533681006	6.24370068652315
SELENOP	5.42285778056923	5.57298002077041	4.13950376773486	4.78200691542363	5.78185832757271
SELENOW	7.09134219829594	7.31740074835141	7.39821206552931	6.44164216626871	6.4266866512352
LIMA1	8.68193216400255	7.13698669689409	7.86288471617195	9.30596352880064	7.8959577301205
SHROOM3	5.73446396881949	5.48176103596389	4.59433939185896	4.4098334725123	3.97777951415436
ASRGL1	4.61315311978945	4.26735119643773	3.8882293320045	6.76973789844651	7.23243433927869
ITPRIPL2	5.68796598458676	7.42929748532142	5.74766255169651	8.07716793564068	4.62072372365969
ATF5	6.14954745709255	6.37245108031011	6.33498633779505	5.95727977062966	6.54617248517582
ANGPT1	2.70884709040835	2.52172171085818	2.82076900230889	4.22230775776142	3.13378979151315
FN1	6.77247442213947	6.53045604804878	5.99265186450576	11.231895473813	6.43344134962518
ANK3	5.93246632990303	4.39392411977439	6.21260794142814	5.07718494815562	5.43117983117784
ARHGAP23	5.42412691009196	4.49806409545479	5.53338207759965	6.55603770281482	5.20538253149987
PHLDA1	5.27026592255448	5.36570048031331	6.69249600045144	6.74009600401491	4.79101339920564
EMB	4.63083386217834	2.9655521757824	4.82869538066926	6.39250826340986	4.92426032217473
ANXA1	5.62458486877677	4.61902012487174	6.34849830337837	9.5253115365953	7.90328021997083
GPX8	5.56618636893248	3.22954051996603	5.42529647190471	7.80514997524798	5.12401288307294
ANXA2	8.19971400981415	6.46427850515777	6.88988613800424	8.20305931527183	6.89101888643616
SGK1	4.57301645759072	3.67015720191794	6.0165366321649	6.2778670395632	6.08598571821353
FOS	5.3000268165859	4.79987567831746	8.46147856067886	6.75160449991033	7.03948572589564
ANXA3	3.67349701635337	1.2276015558178	3.97658598427523	6.87157661459641	3.51973414745736
DDX60	5.8331848100197	6.40735012513411	5.90116209230694	5.20430238404578	4.66044210885014
RHOBTB3	7.82494720014084	6.64021787429331	5.6292211795398	8.15127570883755	7.7454286849872
ANXA4	7.02106275048312	5.74209664214567	6.59965555171357	9.152697341909	6.911246377877
TENT5A	4.59123784682983	3.92991167447081	4.26957677310421	6.09220642807342	4.45411263559704
AGR2	6.25343984993787	6.41279545585398	7.47223653790759	5.69049992698364	5.4672362051984
RUBCNL	3.16329977310129	2.28000174603472	2.80332678678662	5.37879637007005	3.57411121858079
HTATIP2	4.91223733314824	6.05816978670317	6.27584536314675	6.24466643036892	6.60550989124719
ENC1	7.05848825554732	5.27795254313559	5.0015090110365	7.86723416861478	7.17878178511414
FERMT1	3.54426858599946	2.91848681744577	3.00592429588471	4.11392536832266	2.8865301068404
DOCK10	5.63531848338373	4.94147762997474	5.54366828269753	6.29895900183487	5.71758335538601
STAP2	5.51757768328288	5.04140162673716	5.8817652321746	3.73875690296956	4.0212933453278
PRXL2A	7.32679871843887	8.3035397024584	8.58461149882881	8.77062614077898	4.68028083858177
IFITM1	8.04997960151212	11.443812844202	9.12413784471888	5.66747192410444	7.61411332962193
MYO1B	5.04478836452137	4.32190117011277	5.86453486850864	8.59716851979803	5.82317393615504
CCDC80	4.27477867898086	2.55366233702401	4.11967794307252	7.02211710377632	5.31725908965969
ST6GAL1	4.44001735101404	5.61448584473626	5.44671007021558	5.62046284451037	4.47191101308618
YBX3	6.86204494415377	8.52820873529016	8.50831334227939	9.1977069689335	8.4113485008669
IFITM2	8.41679128291626	9.64684241172511	9.94794181777861	7.11334120223299	9.21150178250212
TMC4	7.02709887022952	5.76830926856355	5.63914864187218	6.53464211250242	4.76148883958039
APP	8.04455021444828	8.21447311136431	8.67895484854006	10.4107215707279	7.17794293317389
PIR	4.90491898935451	5.90901800989063	5.83584451907924	3.96324193178391	5.19874408528052
SHTN1	5.88807455149309	5.28406289180044	4.99158664662049	5.08528907047942	5.23544533806995
ZHX2	6.66836638660135	6.1668301646409	5.42577749363757	5.81147528702593	5.51631388488933
SLA	3.11935571633077	3.02485382553631	2.49063180228053	3.91685672168791	3.70945570831599
HVCN1	3.69012823303817	2.6079764629507	3.53715231713281	4.80121247884362	5.06327969105509
WDFY4	3.67431177106182	3.30636456415447	3.44078271485194	4.31551473654357	3.83266428732174
CDC42EP3	6.22394640054484	5.94212289464439	6.31540463880588	8.25167933500044	6.2716625962284
ST6GALNAC2	6.26263049804813	2.97915788992859	5.64454617690059	5.35027025434646	3.67878887679242
GPR160	7.92970057757525	5.57738705599045	6.81994420221477	7.39989149294405	8.24173410955557
AREG	5.73435232009688	1.31166377763581	5.92119919803242	5.01412162700139	3.64584578910288
