symbol	TCGA-50-5068-01A	TCGA-53-7624-01A	TCGA-99-8033-01A	TCGA-D8-A3Z6-01A	TCGA-EW-A1OY-01A	TCGA-EW-A1P3-01A	TCGA-EW-A2FR-01A	TCGA-GM-A2DA-01A	TCGA-IN-8462-01A	TCGA-QK-A6IH-01A
NLRP11	0	1	0	0	0	0	0	0	0	0
PIK3AP1	0	1	0	1	0	0	0	0	1	1
EPS8	0	0	0	1	1	0	0	0	0	0
NRIP1	0	0	0	0	1	0	1	0	1	0
SPRY2	0	1	1	0	1	0	0	0	0	0
PLBD1	0	0	0	0	1	0	0	0	0	0
FOXQ1	0	1	0	0	1	0	0	0	0	0
LARP6	0	1	0	0	1	0	0	0	1	0
CYBRD1	0	1	0	0	0	0	0	0	0	0
MAP1B	0	1	0	0	0	0	0	0	0	1
MATN2	0	0	0	1	1	0	0	0	0	1
MB	0	0	0	0	0	0	0	0	0	0
LAPTM4B	0	0	0	1	1	0	0	0	0	1
S100A14	0	0	1	1	1	1	0	0	0	0
ACTA2	0	1	0	1	0	0	0	0	1	1
TBC1D2	0	0	0	0	1	1	0	0	0	0
CEP15	0	1	0	0	0	0	0	0	0	1
MECOM	0	1	0	0	0	0	0	0	0	1
EVI2B	0	1	0	0	0	1	0	1	1	0
C1RL	0	0	0	0	1	0	0	0	0	0
GOLM1	0	0	0	0	1	1	0	0	0	0
RCSD1	0	1	1	1	1	1	0	0	0	0
EXT1	0	1	0	1	1	0	0	1	0	1
ACTN1	0	0	0	1	0	1	0	0	0	0
MND1	0	1	0	0	0	0	0	1	0	1
RRAS	0	1	0	0	0	0	0	0	0	0
MDK	0	1	0	0	1	0	0	0	0	0
WLS	0	0	0	0	1	0	0	0	0	0
ADA	0	1	0	0	1	0	0	0	0	0
ME1	0	0	0	0	1	0	0	0	0	0
F3	0	0	0	0	1	0	0	0	0	0
TRIM22	0	1	0	0	1	0	0	0	0	0
PPM1H	0	1	0	0	0	0	0	0	0	0
S100A2	0	0	1	1	1	1	0	0	0	0
TNFRSF12A	0	1	0	1	0	1	0	1	0	0
FZD6	0	0	0	1	1	0	0	0	0	1
ESRP2	0	0	0	1	0	1	0	1	0	0
ADM	0	1	0	0	1	0	0	0	0	0
S100A6	0	0	1	1	1	1	0	0	0	0
GLMP	0	1	1	1	1	1	0	0	0	0
ADORA2B	0	1	0	0	1	1	0	1	1	0
