symbol	TCGA-50-5068-01A	TCGA-53-7624-01A	TCGA-99-8033-01A	TCGA-D8-A3Z6-01A	TCGA-EW-A1OY-01A	TCGA-EW-A1P3-01A	TCGA-EW-A2FR-01A	TCGA-GM-A2DA-01A	TCGA-IN-8462-01A	TCGA-QK-A6IH-01A
NLRP11	3.88194340520803	3.88370339417161	3.83533031280402	3.80316760062552	3.80316760062552	3.88472136634996	3.80316760062552	3.80316760062552	3.99095817430667	3.83144518011885
PIK3AP1	7.00410811056496	5.84757194271756	6.60953708413629	3.78544310954484	4.19041501522843	3.61729209524888	5.45935638115657	4.3003908522697	3.07664712539483	1.56932527437857
EPS8	6.75723924569018	5.21760771030559	7.85589976179897	5.50586803643544	5.44917730266032	4.92601401886815	6.15562129802875	5.85346797897698	6.67839927770057	1.12229159205893
NRIP1	5.53744883380065	5.08608634237624	4.72269504089051	7.57366108895536	6.50544371055411	6.60505369465414	7.04831976226388	6.2133269294329	4.20975958458499	4.77338990534669
SPRY2	6.46231764073618	5.92786781713209	6.74775029809352	4.74786149867915	3.77892008950778	5.24447226116197	5.94054690330033	5.4586388745635	8.08745756477122	2.89466638399044
PLBD1	3.76842200920549	7.11692257902956	2.40273740771985	2.65021870243747	3.05259587043237	5.77454796898856	6.53771740793755	5.82015927766765	8.761492059913	3.66935254302298
FOXQ1	4.71035984668468	4.04762314885406	5.50923452873179	3.430156197596	2.4951811193836	3.13882938311784	3.52640076787949	3.42855788498636	8.19598130919686	4.76550150080001
LARP6	4.72498140592343	7.58706338120279	2.75978850629413	3.81875420985913	4.59008885122353	3.90840705017459	5.29587226032142	4.22706093619051	5.04389804272205	4.92440717016527
CYBRD1	5.65051730758458	3.03478372757804	6.18150359722303	6.14211388655195	5.33022123034193	6.14886034641313	6.37531320146193	6.14882875366983	4.6338619996001	1.67680861452333
MAP1B	3.05725651269596	5.64296251322708	6.73908202887441	6.94315738718538	6.16251457626186	7.22740828050575	9.39353136176956	6.56062715954639	8.41380621514021	3.54385702040741
MATN2	1.78219829366834	4.39947033786158	4.00532930276034	3.76235508196834	3.99554329615473	3.60792122851673	3.23170780374979	4.00487383788778	4.13454415233914	2.05863683402724
MB	2.82027009881635	3.23328092343081	2.9171547711105	5.08589439580403	5.27117086364954	4.36391993724071	5.05389364535257	3.36733891253479	0.450452779667881	1.27145874939373
LAPTM4B	7.45662570842705	8.52702688986593	9.79545169905319	6.80765802435337	13.2585249459579	7.07606470001254	6.46147335179443	6.38412193102057	6.29231727904068	7.43124311658209
S100A14	2.69529782870579	5.21285211741992	5.6759572214011	4.87163041948732	4.57624016670237	6.70954553025113	6.98023805245933	4.07145860619159	6.04535838869614	6.2614130208508
ACTA2	4.06780894359597	3.46134067813715	6.09241525268453	7.10752292387094	5.87818428192467	7.45513804320168	9.4224530391371	6.95552724005724	7.89206887067213	3.64924850234178
TBC1D2	3.47066844022073	4.50472037072525	7.26420027421147	7.33014895284424	3.99437648797215	3.99739828261277	6.76619719269207	4.71654391134488	5.97573816402752	7.74541515652512
CEP15	2.9013919611979	4.37486314931752	4.67186923043701	7.78991606554901	7.70125383807318	8.79192995456559	8.38615598547818	7.74276115784654	3.8481360124444	0.0231985972179851
MECOM	5.14759589306537	3.70627716384957	7.77153939516809	5.00769048094291	3.92848909737088	4.54039467520632	5.00602883777805	4.71386186249606	7.41216482053002	2.74972971679274
EVI2B	6.52491610756851	4.32738742732715	5.47339078063016	3.67649911054381	4.20389478107067	4.85320239787588	5.75816062114161	6.26029351736175	5.01270645481093	0.745916999944812
C1RL	4.41577087860943	6.33655342226226	7.30285301221323	6.16720449575645	4.98365442201852	6.08313848385111	6.38762019695932	4.52813682368802	5.10727592463952	3.40500387488276
GOLM1	5.16866632249152	6.36917979417634	6.65223502567109	8.27501831545985	8.29160093594441	4.83459538831441	8.05470083963876	8.31033052122754	8.03927689705085	3.0911132375883
RCSD1	4.4081281065772	2.70267704214177	3.95819200790212	3.49321750342875	2.98217988975011	3.26224356846248	4.58364521330834	4.45108200928947	2.20321203859798	0.773887379781248
EXT1	3.93070866075198	3.70948839587215	6.98193746342013	6.86109252276599	6.16496797965253	4.51642558833957	7.66561374948758	5.19188432582926	6.04281086131117	7.95046900661203
ACTN1	2.85892324512064	8.02900189853493	5.62542479770121	7.54479973267835	6.1575154461095	6.4800868872309	8.94368395649207	6.2828259311348	6.94738256819832	5.93315474863166
MND1	6.10785026402547	7.12591442304851	6.98719659929272	5.31487119865109	8.09909939983658	6.15525861187705	7.10018078398449	6.68248014937741	5.87349298673625	6.41839625686865
RRAS	7.67743463347054	8.01459651970545	5.42515157796015	6.39623868846099	3.95579778925257	7.30454250021362	5.39967637722842	6.57626726906032	9.86763753548752	7.14665167517359
MDK	7.57044410977105	3.76578997534019	6.08747420045324	7.07399470210303	6.24334299325805	7.58229455382803	9.26209279715782	6.09682627110287	7.49615740877225	3.79590324701114
WLS	4.8319825753239	2.85189755569782	4.08426289332166	5.91413517436775	6.68669694579498	5.93674014574119	5.83882726773316	5.81605186070913	6.831847337672	5.29249714101569
ADA	6.62518024034021	7.36054821623972	7.84149848230293	6.76140905516537	7.01016018309732	5.6851623302249	7.4375779931516	6.48744876492047	4.5255081836357	9.58194118735815
ME1	6.61180203237774	8.66270222793399	8.54029004882681	5.69711524619136	5.44746579421231	4.64325011428155	5.31153292911724	6.60268459896142	6.63445973603498	5.85742892017461
F3	5.60674438706643	6.2760841492308	11.4411989296823	4.06538305709718	2.6432213944012	4.05265414343496	4.169085665458	5.21430002981253	7.96804090564341	5.56186111925391
TRIM22	6.68731586039898	4.98102307524194	5.19668467151493	4.77117086447656	3.1370121071518	3.61222060290238	5.65307215074289	4.80357699777441	4.3251000782691	0.882769571187503
PPM1H	2.2082206491303	7.37468239391118	5.9500584870363	7.9107763336582	7.3278448572007	5.55662006392714	4.91274600422318	3.42621734498155	3.5574176874197	1.34142712315357
S100A2	6.25399453635051	4.45154731190989	6.02551858092375	5.68674631852708	3.30707244214642	4.80234907996414	4.86210330733224	4.33302356314417	9.97251035038166	12.983575918044
