symbol	TCGA-A2-A0EP-01A	TCGA-A2-A3XS-01A	TCGA-A2-A3XW-01A	TCGA-A2-A3XX-01A	TCGA-A2-A3XY-01A	TCGA-A2-A4S2-01A	TCGA-A7-A4SA-01A	TCGA-A7-A4SE-01A	TCGA-A7-A5ZV-01A	TCGA-A7-A5ZX-01A	TCGA-A8-A08X-01A	TCGA-A8-A09M-01A	TCGA-AQ-A54O-01A	TCGA-B6-A402-01A	TCGA-GM-A2DB-01A	TCGA-GM-A2DF-01A	TCGA-GM-A2DH-01A	TCGA-GM-A2DM-01A	TCGA-GM-A2DN-01A	TCGA-GM-A3XG-01A	TCGA-GM-A3XL-01A	TCGA-GM-A3XN-01A	TCGA-N5-A4RO-01A	TCGA-N9-A4PZ-01A	TCGA-NA-A4QW-01A
NLRP11	3.82932333956458	3.80316760062552	3.80316760062552	3.80316760062552	3.80316760062552	3.80316760062552	3.98323650417109	3.80316760062552	3.80316760062552	3.83858828321357	3.80316760062552	3.80316760062552	3.80316760062552	3.80316760062552	3.84445554492209	3.80316760062552	3.86180020608887	3.80316760062552	3.80316760062552	3.80316760062552	3.80316760062552	3.91604801693089	8.63329874483463	3.96548380712062	3.90665797617426
PIK3AP1	7.25744701272946	3.89540205280082	2.87497586598184	4.43647036744466	5.83239722370292	6.41883598388051	5.12348979350505	4.58277430163961	5.08912432451859	3.18882229293013	4.90702512130401	5.34926128651511	2.79103491466907	3.67711259089213	4.01349461949098	4.84116939782652	6.29254958583354	5.79433070166129	5.5446598789979	2.20349492093796	4.61555994632007	4.7511407843306	2.33258944276462	2.70620813263689	3.20993285627093
EPS8	6.33327670906401	4.31167239209122	4.5876444857477	3.62958033816345	5.12295520891544	6.16977006073722	6.35168354248709	5.88985305355216	5.73630251603619	6.55227702216353	3.69424411212273	5.69146103921738	3.6083458831609	3.20425063363233	3.37092083913832	3.73846861585479	7.79861742992425	4.69224446437619	5.7846518026853	5.91905063383454	4.66346703621742	5.90451343654361	5.58526693848267	5.18493871825878	4.76774688969207
NRIP1	5.97542353920525	3.7164835670481	4.15935884015728	3.9307740238609	4.7829008234835	7.72003411017281	7.65479971429916	6.61330926581894	4.00600535301232	7.53297307715842	5.86296863817905	8.73247465162345	5.65841213972387	4.8530616165672	3.61488562975886	4.05237212053615	6.66358572538018	8.48773597354995	7.00176899609933	5.93710284769492	3.51242245337658	6.77990971496474	6.03300132527625	2.68479558502635	6.35025133820267
SPRY2	7.16669827177183	5.94638734032811	6.95376933833385	5.59877737145843	7.11417794660289	5.17564887771888	6.1203425515699	6.29312727544646	5.72138194684001	8.30465951225445	5.87061428412169	3.62013755379359	2.95019912791458	5.02648944783357	3.77008219771761	4.37684763888828	4.30238952825373	6.69255956244478	6.27584137643915	7.74268129737374	4.34438244277625	7.09395111486854	7.33863801547152	5.61500814631135	11.376200560657
PLBD1	5.97882363516957	3.67945355285335	4.9207958204488	3.28584701008871	4.60979272955724	3.01574016159044	7.31782264463481	6.00688242861811	6.24441426052035	4.36191303382687	4.54181611561275	5.59425067863721	2.38879511401708	4.69716315270809	3.40975804196408	6.17870145466045	6.83678069591877	2.90541414600236	4.72050759089431	3.53264838513522	5.11104331425582	3.94878201700003	5.72679402577126	4.03709855203774	4.03860339189826
FOXQ1	2.3800727951856	2.86834347447612	6.5196822328681	2.63576173621093	2.57607035310553	3.14095519445384	3.26273885808819	6.80548695190854	5.69327601023705	3.69250943641282	2.93111464971902	2.59259470323707	3.35481185584595	3.61798728292329	3.01343554098437	2.52087797533733	2.96763833529472	2.26753819775649	3.19046734490217	2.76537540758068	2.37898366041118	3.75544199037793	2.7928440078792	5.28044328694658	2.94429098968402
LARP6	6.01215960019524	5.77505125995281	5.95549110697642	5.0722143293338	8.92800447474138	4.42076299803233	5.31090044882372	7.08494978078893	10.0556691823747	5.16580528717662	3.72384709850336	6.18469524082006	4.78628163848857	5.15673202737125	5.58258008257953	5.01297384660707	4.30425603049617	3.12172123756386	4.0628930392729	5.61021795465151	7.65270127548226	5.40871971422217	6.61943809291532	6.95122990680917	8.37946631106291
CYBRD1	6.85632484161378	3.92571611301858	4.64992283139209	3.3464456474074	4.8000456196222	6.47102311023299	5.3486578475049	5.56825915157726	5.172834350335	7.25284422870434	5.00013514963367	4.84287585385095	4.11088945640942	3.42092996108705	2.69924418287192	3.70341917830369	4.66945852627465	8.1015477835375	5.69135391430885	5.39956542105454	3.14445242728018	6.18786787234905	3.40128779372252	4.49376233768396	4.86939492617753
MAP1B	8.13953593558797	5.37466484278969	5.00276248958139	5.73126036527835	7.03981107630217	6.15260363215215	6.58155007278708	10.3349483834554	6.37434127877047	7.25029502031856	6.36184016992194	4.28073811141111	3.89923055602081	4.72229796388351	5.63524589613884	4.54669582166092	7.39685198797821	5.00637488146261	6.25647022394132	7.84318080598768	3.34064939586979	7.80555725425994	10.448091462801	7.84651109816225	6.67318378515142
