symbol	TCGA.D7.A748	TCGA.VQ.A8DU	TCGA.VQ.A8DZ	TCGA.VQ.AA6F	TCGA.VQ.AA6G
PIK3AP1	4.66413876998519	5.5261169767063	3.82597334031895	6.03132302533921	4.38738769519583
EPS8	5.61412953540797	4.61886883225435	4.90953680713768	7.48096868090926	8.53981125360206
NRIP1	6.61101893301245	5.70595432848526	6.08184472040711	5.97489916064778	6.85608295084362
PLBD1	7.95212794407987	4.34894384735312	5.48010881888751	7.28424576468841	8.53467941933636
FOXQ1	2.66208441708894	3.82629166633947	4.46001993575996	4.91696683973236	4.33071950114633
LARP6	6.80880009120302	8.47253114420764	7.80599603805379	4.4287085510012	4.82003740209233
ASPHD1	3.26681016060464	4.61038307426373	4.13321335832892	8.06513514996403	7.31220793127787
CRIM1	3.82153697293983	3.69995829116128	3.89113490673224	4.56929663531328	5.43066170897298
EPSTI1	4.84709042246859	4.74600754363465	3.05573006564184	3.91560897878603	4.22344054351282
MAP1B	8.04441601859807	6.17440184891064	5.87643336147943	7.41697222843131	7.21767383537849
MATN2	3.45908874854499	3.74669637337043	4.49526294870345	5.37310123985778	4.62260531845751
LAPTM4B	8.09740377114871	8.55720278760068	13.5795993072628	7.77990606791406	7.95189726003125
S100A14	4.47222340084935	5.96198368129183	7.49122872724456	2.14300829398893	7.99471678996464
TBC1D2	6.34102253343053	3.7986489575998	4.97539619644836	4.29837652840086	8.00358198806737
CEP15	7.98697312640852	6.13690988254049	8.10240037783551	7.13269988275762	3.94926768572899
MECOM	3.8406665103487	5.00293025746943	4.7221295916555	7.37046575988741	5.92309195349388
EVI2B	6.6894048028056	4.13863142259804	3.91732332217608	5.63368033741386	3.97145187059927
GOLM1	7.31954481908331	6.88597739645965	6.540051420012	6.66290007103857	8.53786193718298
RCSD1	4.15682505765963	2.9733344949486	2.7320463300889	4.24164135077081	2.43751108410299
EXT1	5.99950439926484	5.3859872114793	7.52104132447828	6.47510951333363	7.75420550234161
ACTN1	7.28414817916466	7.21733538676792	7.21008895010409	6.51760690501669	7.11619618238923
MND1	4.93438961754971	8.50619897051864	6.64822357418617	6.22448832581564	5.60269680875933
DENND2D	6.59388534408562	3.57548968982875	4.61124432566143	6.82256974301809	8.01266595935545
RRAS	7.94134596109836	6.64817634418742	8.14550075670198	6.93650634246881	6.92029299524391
MDK	8.26804023794122	7.53147210300351	10.8982435018705	7.55944632130914	7.29110519139156
TM6SF1	5.39362101132701	3.65375693077646	3.51543609108315	2.72613863994943	2.83790391605226
NRN1	3.85169842958311	3.35345140591867	4.56219085271942	4.08151643971537	3.23832420810662
ADA	7.26416777923732	7.73981388939551	6.45495830432035	7.04018314380426	5.09400583086875
WLS	5.13952554821595	4.7900108596651	5.86818806465597	5.75871060359965	5.43125780502018
ME1	5.57026383604268	6.799460902626	8.39212601449213	6.92853658269849	8.97478993384964
F3	9.06572304498416	4.67491378434736	4.38979821166524	7.61228632973977	8.40607724615545
FMNL2	5.98439801280841	7.00346079219542	4.6850577564009	7.50549419220668	6.35585236950522
TRIM22	5.53271993180849	4.38473384555645	2.32589098284938	6.23192915032811	4.76740206977765
MEF2C	5.120530242625	3.83903849727512	3.80681400567314	5.52044978882155	3.50890659149141
PPM1H	3.67918735745329	7.11148289027406	5.26183451227313	7.4298121791457	6.27384799046991
S100A2	6.40806023087937	4.83421482625931	4.79387312578124	8.65877794011795	5.13258179794968
TNFRSF12A	7.79482227798513	5.87197647443183	9.73476120623968	8.25795220322548	8.98223747580536
FZD6	5.83762669616253	6.18557894195068	8.22757578288027	6.16105989749894	6.36119663035179
ESRP2	3.41547483743533	4.49274895138757	7.13084070323072	6.06687201646924	6.8106743921775
S100A6	10.4152722415049	10.0219342907578	11.1996714486121	9.16523430487446	11.5268634680756
ADM	7.78252757234937	4.03095309296004	6.99713755062073	5.76968812126914	9.73089686129089
S100A4	8.17725335185419	9.04584951311735	5.83508322840584	6.44419475230909	4.86489419107901
ADORA2B	5.46628064230143	6.87860400145855	4.8075395480066	4.32488891439592	6.50726134239456
MET	3.59891523831555	3.39443598555951	4.40784336701618	5.86654881700188	6.59482956253011
MEST	6.07974059790953	7.02719279109447	5.73568070193358	4.10444308384861	4.70398153290587
SEMA3A	4.61283491470722	6.74067418737971	3.76438283908516	5.28947716210511	3.50686196192667
S100A13	8.746085054107	8.56142197043281	9.03941279469195	7.61979641274578	8.51866355433597
WWC2	4.67426325674832	4.990761363096	4.5011925111248	5.04782751208351	5.6369240017071
MFAP4	4.09170369711811	4.5710393690384	3.57910175454856	3.75735671628449	3.31163930919963
FAT1	7.03807209157062	6.8884033677498	6.85844871670251	10.5420666119903	10.5053878798143
MEX3A	3.27806407821019	4.28841871466269	5.0942816837927	3.42569754380512	3.32032979590499
EFEMP1	8.65937072412671	4.93796618907605	6.23091541111956	4.74046814822377	3.59886006112325
DYNLL1	6.6099550118983	4.76025976242486	5.27659088250837	5.34769939642242	5.39723591120365
MGMT	5.688036298318	7.1924363180548	5.48061924691698	5.78873344921072	5.05385767821921
SATB1	3.98903993236234	4.71087530810657	4.13587385934903	2.8734999673758	4.40748009107657
MGST1	11.4661591493623	9.25518357230692	9.53127430035637	10.2596300369007	9.65755837878456
HK1	2.40766529753599	5.9124072175123	4.61877263335293	5.9377288345392	6.28846018318482
MGST2	9.68407785870605	8.41372379959069	9.79017911026079	6.0603115341015	7.56297098360074
AEBP1	7.70663511854034	4.78862947091642	4.64030167491685	4.03188290932733	4.16128841995395
YAP1	5.43103612234972	7.93415636816979	7.43809045947362	5.30863337584718	5.75611157875505
SNX7	5.79470468137017	6.6717891039678	5.80694725070514	6.50646846494391	7.95187621897992
OSBPL1A	7.59074356470549	7.08430068969795	6.86995007845452	5.47364341467739	9.27391212553936
MITF	6.27562136330949	3.88961642753884	4.54134317270702	7.0933919012617	6.83820247909038
FES	3.66144554373415	3.45622485318556	4.82967623674392	2.79445200377632	2.54270287635658
MLF1	5.82007376344485	6.23241132600031	5.41387059689593	6.70555394274415	6.66172703415631
AHR	5.87063218316782	5.38362808297429	6.17080088778765	6.60435562665875	7.61765274144497
IFI30	11.8538306618283	8.11674866840114	8.99837078208751	7.35749853175369	8.83609787901554
NLRC5	2.42395087148751	3.58436262576931	3.00221167575906	4.7944283974652	5.23850138468867
CCL3	3.58093680075349	2.57693570206158	2.27655525944513	3.06278711426933	3.2685719237947
BIN2	4.93429820916026	2.44200591225939	2.73602800491738	4.50756507727997	2.4783928503418
BATF3	3.97169514354791	4.12325164080405	3.21841501783362	3.91825013500508	2.80673441489449
ALDH1A1	5.11410783083633	6.65276307404572	6.53958254632475	8.31740100355979	6.57080514963107
FBXO32	8.40651727580766	4.20493310412033	4.45278954134877	6.60174543496722	7.42610034375236
ALDH1A3	6.90067888063712	4.12511597399393	2.9117819301202	4.87383409715952	3.48814144652828
BCAR3	4.47988692537556	3.14810131769644	4.86389003162721	5.99419418676472	7.94304928620111
PRKAG2	5.42235857224265	5.29842954015439	5.34986200531055	5.14682858831038	6.5793688238095
FHL2	8.26865161407753	4.92513942757596	6.54737254252032	9.55166617640265	10.8091744842069
SNX9	6.6198776440581	6.07771000568527	5.43045818603203	6.58732528329002	8.86303751272271
PREX1	4.20087910948649	4.89278324800246	4.53111399895393	4.81284079678286	3.61804203188186
SDC1	6.95622668584397	3.37099192414299	6.39864440957502	7.29957947587823	6.36816754126657
SDC2	6.72854612669186	6.56807346590091	4.10932222839975	3.96678726680904	4.36202126801426
SDC4	5.46133940583129	6.45030833007102	7.73345587865593	8.50878111454293	8.06012788976203
CAP2	4.42274992052976	5.93819087040551	4.40564586647297	4.92521244777337	4.30195602077005
FOXC1	6.61926325769569	4.51250062037855	7.23319892877724	3.37507567126671	5.62744326610044
STEAP1	5.72160052951149	4.91569519463734	4.54106464618312	12.5492641627161	5.60247225602566
RBM38	4.40345974998376	7.64168918691528	7.1012664107145	5.44347157215443	5.08288405154293
BAHCC1	3.8725740753324	5.03278918283586	5.37840828184393	4.76698644562799	3.52911626566823
GULP1	6.69270188392974	4.94608767125398	7.16613806072146	6.43789289778381	6.34177334984423
LRRC8C	5.64326673703927	5.17345973919041	4.5580917287106	5.40524030928511	5.71850301247198
FLI1	4.13985843079943	2.98384027864926	3.30402410910472	4.21318189801245	3.16229439829972
TPST1	6.20299662197166	6.19055781642088	5.58963588993721	6.10317282726523	5.38336277305373
FLNC	5.11012658143471	4.87664911635548	5.88426139262199	4.30214945770058	4.5527131507832
SEMA3C	6.03241576012279	4.23305014635712	3.49478938184715	5.63361637332102	6.2513761898911
LIMA1	8.28390553129196	6.96366673898868	7.99829454851505	9.95381104437464	10.8402203714926
SHROOM3	3.45035027067006	4.37134521220462	4.4510814094739	6.87662956091908	8.00365878583325
ATF5	6.06249258520036	3.97507306018671	5.80608118056303	5.8903991640879	3.38355558326113
ITPRIPL2	5.8904093315581	4.36471213933236	6.50566961185813	7.16627350517622	6.6020100789415
FN1	9.05047405575628	6.71227546846787	4.97865497868866	5.0332232157012	4.61324175017539
PHLDA1	6.35512260114135	5.50684787438348	5.73838374682767	7.14668834059184	7.84585914075475
BATF	5.43646680038308	4.35912802965014	6.57706990672215	3.68654985884842	4.58816181522478
EMB	4.73031197366135	4.82686612933495	2.71985527701252	5.9423927164653	5.44398497536005
GPX8	7.01799754451835	5.59846869565019	4.74658330699924	5.63551911528729	4.9621769198466
SGK1	7.51990600847743	5.90931583787644	6.51911421114294	7.12337918736706	6.88472447006454
VASN	5.51281812038082	4.52142357325097	5.13287547352024	4.69765277673933	4.02466428971189
