symbol	TCGA-3A-A9IC	TCGA-D7-A748	TCGA-HZ-A49I	TCGA-IB-7888	TCGA-OE-A75W	TCGA-VQ-A8DU	TCGA-VQ-A8DZ	TCGA-VQ-AA6F	TCGA-VQ-AA6G
PIK3AP1	4.32243920015723	4.66413876998519	4.85438232299137	5.1252474669687	3.36123796374312	5.5261169767063	3.82597334031895	6.03132302533921	4.38738769519583
EPS8	3.55115259115035	5.61412953540797	5.76050632097336	6.4314827598732	3.65832149124779	4.61886883225435	4.90953680713768	7.48096868090926	8.53981125360206
NRIP1	5.44308174852427	6.61101893301245	6.79787018914466	7.39887135052024	3.33812507637648	5.70595432848526	6.08184472040711	5.97489916064778	6.85608295084362
PLBD1	4.59157463767156	7.95212794407987	5.97923481913359	5.39830166702359	5.80107636624371	4.34894384735312	5.48010881888751	7.28424576468841	8.53467941933636
FOXQ1	4.90818668328518	2.66208441708894	4.05257653463925	5.40343507136034	5.09324116171074	3.82629166633947	4.46001993575996	4.91696683973236	4.33071950114633
LARP6	7.76223898415013	6.80880009120302	8.39547498860904	6.50373226480096	7.18211224050434	8.47253114420764	7.80599603805379	4.4287085510012	4.82003740209233
ASPHD1	7.3447401388138	3.26681016060464	7.56622216311206	5.02789539371519	8.10796791341781	4.61038307426373	4.13321335832892	8.06513514996403	7.31220793127787
CRIM1	4.05277811956093	3.82153697293983	4.02805354940527	5.57285667732968	1.5757070108635	3.69995829116128	3.89113490673224	4.56929663531328	5.43066170897298
EPSTI1	3.53376218588526	4.84709042246859	6.71874743774334	4.72545994993956	5.19941036947842	4.74600754363465	3.05573006564184	3.91560897878603	4.22344054351282
MAP1B	6.01895039668253	8.04441601859807	7.08056648281459	9.35072828159705	5.54667270883642	6.17440184891064	5.87643336147943	7.41697222843131	7.21767383537849
MATN2	2.36290244999784	3.45908874854499	6.12492690769922	6.78665975367307	4.19275120097098	3.74669637337043	4.49526294870345	5.37310123985778	4.62260531845751
LAPTM4B	7.00226722226191	8.09740377114871	7.93904264872119	8.27745189002733	7.27297419309834	8.55720278760068	13.5795993072628	7.77990606791406	7.95189726003125
S100A14	8.97489164426491	4.47222340084935	5.05360251684226	9.20684113667075	6.80225841443149	5.96198368129183	7.49122872724456	2.14300829398893	7.99471678996464
TBC1D2	7.56743024747196	6.34102253343053	7.3032255758481	5.75091811662119	5.84375565695555	3.7986489575998	4.97539619644836	4.29837652840086	8.00358198806737
CEP15	8.07941950890077	7.98697312640852	8.9655011509216	9.83844316357242	9.22739901282482	6.13690988254049	8.10240037783551	7.13269988275762	3.94926768572899
MECOM	2.86622069369634	3.8406665103487	4.62952608145885	5.34309458315796	2.73888426118827	5.00293025746943	4.7221295916555	7.37046575988741	5.92309195349388
EVI2B	3.41508773368606	6.6894048028056	5.39912076763455	6.16427767244213	3.16751983887851	4.13863142259804	3.91732332217608	5.63368033741386	3.97145187059927
GOLM1	8.04722919794392	7.31954481908331	7.06927337924363	8.38490972729439	6.23729692765792	6.88597739645965	6.540051420012	6.66290007103857	8.53786193718298
RCSD1	2.88432456512666	4.15682505765963	4.55808346756507	5.85092155755932	2.56833344724105	2.9733344949486	2.7320463300889	4.24164135077081	2.43751108410299
EXT1	7.07400267332667	5.99950439926484	6.31051515060036	6.88471146089891	5.48404923290012	5.3859872114793	7.52104132447828	6.47510951333363	7.75420550234161
ACTN1	8.92782986346798	7.28414817916466	9.18823204256259	8.38622737145183	6.63434980956161	7.21733538676792	7.21008895010409	6.51760690501669	7.11619618238923
MND1	6.69146382108798	4.93438961754971	5.72471269647074	5.91216592132073	6.69834984432297	8.50619897051864	6.64822357418617	6.22448832581564	5.60269680875933
DENND2D	4.34520087260556	6.59388534408562	5.8645455120213	5.23338916724353	4.13145471603436	3.57548968982875	4.61124432566143	6.82256974301809	8.01266595935545
RRAS	8.2206664251902	7.94134596109836	8.37728072634883	7.87531117445541	9.60724136562398	6.64817634418742	8.14550075670198	6.93650634246881	6.92029299524391
MDK	8.22062737204893	8.26804023794122	9.05896364710444	7.68334402933494	9.8022272907842	7.53147210300351	10.8982435018705	7.55944632130914	7.29110519139156
TM6SF1	3.53545779744692	5.39362101132701	4.90485246316856	5.37440785823272	3.10667028985152	3.65375693077646	3.51543609108315	2.72613863994943	2.83790391605226
NRN1	7.67019611946561	3.85169842958311	4.42369639608144	6.56999149650665	3.7597618175694	3.35345140591867	4.56219085271942	4.08151643971537	3.23832420810662
ADA	6.86702864870962	7.26416777923732	6.03628147371824	7.46873947241722	6.7636995947461	7.73981388939551	6.45495830432035	7.04018314380426	5.09400583086875
WLS	6.719899265644	5.13952554821595	6.22048749335935	6.75579723924188	4.50949893739204	4.7900108596651	5.86818806465597	5.75871060359965	5.43125780502018
ME1	4.51328610755137	5.57026383604268	3.61028259917772	7.50938769563718	3.86312235597245	6.799460902626	8.39212601449213	6.92853658269849	8.97478993384964
F3	6.2872788350999	9.06572304498416	8.82237782115942	8.75806965431122	4.94581376836829	4.67491378434736	4.38979821166524	7.61228632973977	8.40607724615545
FMNL2	4.9987033507571	5.98439801280841	5.28528758379036	6.65491547184099	4.06173352234744	7.00346079219542	4.6850577564009	7.50549419220668	6.35585236950522
TRIM22	4.41496733803255	5.53271993180849	6.363513494811	5.95146863048677	3.98066640894529	4.38473384555645	2.32589098284938	6.23192915032811	4.76740206977765
MEF2C	4.04745799476396	5.120530242625	4.49406612394757	6.61599357947333	3.2979003715361	3.83903849727512	3.80681400567314	5.52044978882155	3.50890659149141
PPM1H	3.25779697810054	3.67918735745329	3.29082861914572	4.15800109590163	4.3258164042881	7.11148289027406	5.26183451227313	7.4298121791457	6.27384799046991
S100A2	7.95826048256528	6.40806023087937	8.85437654070402	6.79639067378454	11.7348355750659	4.83421482625931	4.79387312578124	8.65877794011795	5.13258179794968
TNFRSF12A	12.9616714703358	7.79482227798513	11.3577159796265	8.11477516539343	10.0186591600865	5.87197647443183	9.73476120623968	8.25795220322548	8.98223747580536
FZD6	6.00994778179068	5.83762669616253	5.34005297974196	6.23622519766963	4.2937709743011	6.18557894195068	8.22757578288027	6.16105989749894	6.36119663035179
ESRP2	3.16381891568546	3.41547483743533	5.05401839055201	3.65514162518676	5.28311078948023	4.49274895138757	7.13084070323072	6.06687201646924	6.8106743921775
S100A6	13.7240086376573	10.4152722415049	14.5291182868972	11.5512526390766	14.1251295073059	10.0219342907578	11.1996714486121	9.16523430487446	11.5268634680756
ADM	8.56347809945776	7.78252757234937	5.41399462077297	5.94537174782246	8.45334913101981	4.03095309296004	6.99713755062073	5.76968812126914	9.73089686129089
