symbol	TCGA.2L.AAQA.01A	TCGA.2L.AAQE.01A	TCGA.2L.AAQI.01A	TCGA.2L.AAQJ.01A	TCGA.3A.A9I9.01A	TCGA.3A.A9IH.01A	TCGA.3A.A9IZ.01A	TCGA.3A.A9J0.01A	TCGA.F2.7273.01A	TCGA.F2.7276.01A	TCGA.F2.A8YN.01A	TCGA.FB.A5VM.01A	TCGA.FB.AAPP.01A	TCGA.HZ.8317.01A	TCGA.HZ.A49G.01A	TCGA.HZ.A77O.01A	TCGA.IB.7644.01A	TCGA.IB.7647.01A	TCGA.IB.7651.01A	TCGA.IB.7889.01A	TCGA.IB.7891.01A	TCGA.IB.A5SO.01A	TCGA.IB.A5SP.01A	TCGA.IB.A7LX.01A	TCGA.IB.AAUO.01A	TCGA.RB.AA9M.01A	TCGA.US.A774.01A	TCGA.XD.AAUI.01A
PIK3AP1	2.28058803503535	3.85441350538307	5.91054193019706	3.49896025342822	4.10837844392	3.93144363690434	3.54590224450376	2.47255270209049	5.68685690347252	6.44587616832777	3.08123181849862	0.74981083384313	2.61758757671458	4.74305980636589	6.1879388464823	2.94276211301231	3.24075011152219	4.76460418119349	5.6636319834918	4.37176506405884	6.49121762141868	4.22001748534081	4.6803739359181	2.8996774969983	3.2477017683269	6.21645093767695	5.03973536598371	3.32586049987035
EPS8	6.57019944090243	6.09128297740057	7.14827109031921	5.67475907853511	3.60118835417691	5.67186999894642	7.48705658083213	5.08524341135658	6.82908082572269	6.46686866908605	5.61068569677169	3.59460376627235	5.96545762593405	5.714888778967	5.64143757862626	4.74749204917003	6.49930545531256	6.68710173192078	7.41419822155998	5.73326946231995	6.27339065952057	6.90986807296954	4.55305146484847	7.91267383719729	6.06206446419589	6.40130532362847	5.76460782564647	5.6029714692255
NRIP1	5.98792169922773	6.48759846677102	6.69042457865874	6.62064740457143	4.41427213555508	5.9040326133235	6.30746962849309	5.57585689590402	7.86405573514526	7.35570897151717	5.28289607801333	5.51503664114172	5.90118581743283	5.82062374627411	6.83076464524297	4.45882219108163	6.81113898807882	7.67134667597342	7.13457967681125	5.61699845093387	7.63948142987964	6.45539828855043	5.74119007080203	5.78550044693886	5.24027857232132	7.10069875894145	6.5440690363273	5.93365232619549
SPRY2	8.25124785704072	5.44139141671923	7.03684868797885	6.77571511705689	5.06841902433076	5.29264884669366	5.08948122042586	6.56413701491747	6.57849588484469	7.08612681369744	7.66138937767433	5.1812858277683	7.12508005394864	6.17820409710202	7.13676382696768	5.51664352971725	7.22769856242705	6.65146782503441	6.84202224214563	6.68355220038539	6.15052276829344	7.12626164260769	6.00362213179664	7.21842708100471	5.18869509125524	6.62789059848533	5.86818758188218	7.23934182059961
PLBD1	7.76381595990201	7.45148382792879	8.26677086475164	6.63691535102459	5.11834409858434	5.96584442361559	7.70398815251609	7.33196608940155	6.15555021091659	4.77893237461362	7.10141546617568	5.66308725283261	0.667507891461514	4.38379696812357	6.35512611128593	5.29322720515867	8.61827930367862	6.9490309077396	7.93229069088182	5.54808079334413	6.45794836471488	6.8679918771838	7.20889595648866	5.19967820319794	4.64281074801715	5.75956650200859	6.74561255231455	5.53312010054708
FOXQ1	6.15586301587099	5.84959035044333	5.67255672571077	6.20613975220942	4.77995442451585	5.58922409712349	5.35534535100655	6.56908965679962	3.3717354166663	3.59857968822783	5.09603092151233	5.11039916413511	4.24234799759613	4.50621343136637	3.93983765438241	4.74799010829445	7.02748247032448	0.619044226856636	5.0008515128147	4.4278472223272	4.79482036142269	4.77627747130192	5.48364294036173	5.76392017071957	4.64404536680655	5.28324341230991	5.33454732364302	5.0089544572118
LARP6	6.09130517288527	7.21412767816148	6.64325271489422	5.49550522389135	5.20278344024379	7.11575295940156	7.22471744363318	6.3059354736578	6.21797057892867	6.80049792091195	4.96049479965462	8.20558247969858	1.88610506916638	5.62013908626251	6.16811533095949	5.66123696598122	4.20887153311688	6.31513501738871	6.54572578578103	6.61286942081076	5.75494742556511	6.45977166078075	6.84114021823031	7.6184335878765	5.38577420313933	6.73926826200379	5.56749520809361	6.41163887901299
ASPHD1	6.37552419339446	8.35365657830243	6.20358346106191	6.57074282128309	5.15460493434829	7.48850434384003	6.53709193969994	6.9452829059579	4.55614911293106	4.86993227772077	7.54929681000369	6.67933932133756	3.69404202261225	3.68322681886415	4.44260736293922	5.33427704425676	5.18168394243895	5.65370482098501	6.25367497272263	4.87433478556615	4.43134417576444	6.64336087132145	6.64649180942464	3.59994952220552	6.73101797166436	5.68068319898289	5.37911823972569	5.49963517862219
CRIM1	4.17914169301334	3.8335442836846	4.98124779003862	3.92826829419799	3.28984855618714	4.14730814745318	4.90458101533394	3.77769462962026	5.0903372186564	5.65923888652322	5.06863745076951	1.39584863083058	4.08566668827625	4.61791183837659	4.59661130157544	2.65111946845783	5.3799315353242	5.80798700614016	5.64669730529382	3.56392091160279	5.44488041605144	4.4635664641392	5.04512656429463	4.36105453780789	3.6578723175699	4.68483507785262	4.6752150162444	4.13848073287649
EPSTI1	6.33505482586596	7.36395643162205	6.14755336370808	4.80206208592589	2.33350076552498	5.39354581837605	3.9687044822685	5.11127574414103	5.65645419947017	5.59639032718137	3.26986829186261	5.13938342977053	-1.15271112674287	3.42116370569226	5.63698007147384	5.46815992685102	5.79646812756014	6.11441819497073	7.08633815315298	4.43296423926197	5.79152008390167	7.2450785233374	4.54572600512655	5.47267016207614	6.21390374964361	4.54474000356391	6.17932817991774	5.62231637605324
