symbol	TCGA-3A-A9IX-01A	TCGA-F2-6879-01A	TCGA-F2-6880-01A	TCGA-F2-A44G-01A	TCGA-F2-A44H-01A	TCGA-FB-A78T-01A	TCGA-FB-AAPY-01A	TCGA-FB-AAQ6-01A	TCGA-H8-A6C1-01A	TCGA-HZ-7924-01A	TCGA-HZ-A49H-01A	TCGA-HZ-A77P-01A	TCGA-IB-7652-01A	TCGA-IB-7885-01A	TCGA-IB-8127-01A	TCGA-IB-A5SS-01A	TCGA-IB-A6UF-01A	TCGA-LB-A8F3-01A	TCGA-Q3-A5QY-01A	TCGA-S4-A8RM-01A
PIK3AP1	5.46718419550999	4.30969158740254	2.30988145779824	3.72534572736582	3.90888662098101	3.78040599453479	3.67583580203819	2.96540975507288	3.8181200319232	4.72513119661632	2.94244353149513	3.44946740595428	5.88015913106116	3.51133076569796	4.93436594025157	4.18645184262729	4.40403625641396	6.87778146239465	5.04326733535902	4.72694164198391
EPS8	6.16782935587456	7.14392100695466	1.15021275321296	6.52666824401732	4.8816024678826	6.16857942740134	5.01242610185409	6.09782362961506	5.80784088049823	7.32285922173963	5.41779206310818	5.44097307708599	7.03979464840221	6.58651155064193	8.67577046766306	6.64098256190608	5.56723896353312	5.36207755316821	4.04274373100598	7.18359021875693
NRIP1	6.46858801793538	6.93751539982653	2.86847302154909	6.79696345397535	5.64619379160081	5.83263007721347	5.27220496537424	5.92489988335019	5.5954975421064	8.24158133745701	5.08059243711964	6.5287345598445	7.53394355581917	6.39306834082865	8.35663599018199	6.42220556472008	3.65669030879685	3.6266184943906	5.92474415250158	7.5531784871069
SPRY2	7.33721764930792	9.26541073027463	3.28578251618506	7.11232334806902	5.90369046586791	8.14942754589119	4.92886775434431	6.20651274502379	6.14607740993055	6.91460964067279	6.73268545617093	8.27936927223021	8.00181331376453	5.02258052278954	6.83560101422605	5.66046556116695	7.00060690662264	7.94760327216302	4.90285774709752	9.09921680233498
PLBD1	5.46939351926029	6.78028604230122	1.64509574987484	7.45394851860768	4.58464871933036	7.10023974613075	7.00766808418819	6.33907835457664	7.45887348186531	7.04469381502926	4.90906408127327	6.35404721256476	8.14762754767428	6.9670076935846	8.31233796867065	6.8473675423203	4.33402813919204	1.62734480005758	4.89211253669316	8.88780714970946
FOXQ1	4.44514274381661	6.02965490142464	0.775696490896687	5.88998255676735	4.33862076666805	6.38567107764828	6.00193834292971	6.48517069234888	5.88309253714032	5.69860189317054	4.95547843631784	3.80615467286558	5.63980644691358	4.71371261327757	6.04832370412338	5.80161000489617	5.26397784400752	4.46260160572294	2.56462545494527	6.38844607150168
LARP6	6.38198790907056	5.93587994775366	3.89460385679392	5.39413618678627	5.25410718329539	4.44032280308105	6.65116375800588	6.55084106311558	4.79272483116406	4.93402511645417	6.37763203859679	7.12633563605115	5.94775751368815	6.31323067629027	7.02696418123189	7.39144843560375	7.62880806293389	5.5918842511396	5.90849831151008	4.43255481722599
ASPHD1	4.93932159748212	6.16340497499072	1.89485169547648	6.0461494911056	3.74908284074717	5.9145899133122	7.08704332227197	6.31405900730787	7.72082763746389	5.52935488282839	5.39985603535322	6.11544070131601	6.47333787316445	7.17587308702326	5.69598154062695	4.544718642297	6.6671194653333	6.29698678944835	4.76578505740054	6.89292532915193
CRIM1	5.04647276226267	6.02831883106899	1.99146604273333	4.35729914540553	3.70385513042899	3.74553911402182	3.37581278541931	4.87398260194009	4.29002310662929	5.91499466485141	3.72703041284671	4.99682276819588	5.36897774380462	5.02074662918058	5.31643230388686	4.51473483698613	4.82834550305596	2.59619921091618	3.02408236160908	5.89069152966101
EPSTI1	4.84805441860836	7.25348229199653	-1.29921176519081	4.67467166940499	3.22331824120626	5.32674622558703	5.3887486734799	3.76448586337947	4.69188354405519	4.66237826319622	4.73544289335349	4.92480980495911	6.1188581780128	5.04328241480224	7.38262594947582	5.73576266734557	3.89133432630595	3.68054044721628	5.09990093656911	4.65467435701784
